image_id,transcriptions,original_labels,indian_labels,irish_labels
1134,如果结婚是好事的话 按照我国的国情 应该托关系走后门才能结婚,misogyny,misogyny,not-misogyny
901,狠狠期待 好了嘛,not-misogyny,not-misogyny,not-misogyny
683,为什么不生孩子？ 让男的生呗 他们不是先生嘛？,misogyny,misogyny,not-misogyny
768,搞不懂呢 你知道滴 我不过是 来自大山深处的吗喽,not-misogyny,not-misogyny,not-misogyny
178,买完同款买同款 家里可以开展览,not-misogyny,not-misogyny,not-misogyny
753,叉会腰,not-misogyny,not-misogyny,not-misogyny
630,学习人出没,not-misogyny,not-misogyny,not-misogyny
87,人间不值得,not-misogyny,not-misogyny,not-misogyny
1197,我的心态 又不会死 大不了死 死了正好,not-misogyny,not-misogyny,not-misogyny
1610,当你坚持做自己，并且家人都支持你时：,not-misogyny,not-misogyny,not-misogyny
1000,我这样说 哥哥 你女朋友不会生气吧,not-misogyny,not-misogyny,not-misogyny
55,好荒唐 像是数学题精密计算后 车上只有0.5人的那种荒唐,not-misogyny,not-misogyny,not-misogyny
1278,我是自愿打工的,not-misogyny,not-misogyny,not-misogyny
222,不要孩子 你将来病了怎么办？ 怎么的，这孩子是药引子啊？,misogyny,not-misogyny,not-misogyny
114,有点想你了 不过问题不搭 看帅哥能解决的 尽量不打扰你,not-misogyny,not-misogyny,not-misogyny
725,工作使我快乐！,not-misogyny,not-misogyny,not-misogyny
1679,跟老公加亲戚关系不好 花钱大手大脚,misogyny,not-misogyny,misogyny
818,心情很好 45°+1 previous adj.以前的 所以嘴角上扬的弧度比平时多了一度,not-misogyny,not-misogyny,not-misogyny
175,今天工作do了吗？ 微do但do的不多 没有从早到晚都在do,not-misogyny,not-misogyny,not-misogyny
1201,见者生儿子,misogyny,not-misogyny,not-misogyny
1329,今天周五,not-misogyny,not-misogyny,not-misogyny
19,操你妈 贱货,misogyny,misogyny,misogyny
424,万试 OK,not-misogyny,not-misogyny,not-misogyny
1337,说我态度有问题 是因为我占理了,misogyny,misogyny,not-misogyny
286,我为什么非要伺候一个男人呢？ 脚不洗牙不刷胡子不刮,misogyny,misogyny,not-misogyny
1448,婚前：孩子生了我带 婚后：你生的孩子，你不带谁带,misogyny,misogyny,not-misogyny
429,别人的假期,not-misogyny,not-misogyny,not-misogyny
1286,以前 以前叫托 现在 现在叫探店,not-misogyny,not-misogyny,not-misogyny
1520,你不结婚我们走了以后你怎么办 你们要是不放心，我就跟你们一起走,misogyny,not-misogyny,not-misogyny
32,打起精神来,not-misogyny,not-misogyny,not-misogyny
695,家产都是儿子的，养老也是儿子的事情。,misogyny,not-misogyny,not-misogyny
1245,朕，龙颜甚悦！,not-misogyny,not-misogyny,not-misogyny
215,警惕花言巧语 致敬、独立女性,not-misogyny,not-misogyny,not-misogyny
602,如果天天上班的话 没点素质也正常吧,not-misogyny,not-misogyny,not-misogyny
327,工作do了吗？ 微do,not-misogyny,not-misogyny,not-misogyny
1550,努力奋斗中,not-misogyny,not-misogyny,not-misogyny
556,说我说话难听 你话戳他痛处 破防了,not-misogyny,not-misogyny,not-misogyny
1400,操你妈 栽种 呆逼 nmsl,misogyny,misogyny,misogyny
342,举报电话12345 捐卵代孕属于违法犯罪行为 参与者、教唆者、组织者以【组织出卖人体器官罪】【非法经营罪】论处，处以拘役、管制、有期徒刑、罚金、没收财产 拒绝代孕 女性每月排卵一次，一次仅排一个卵。代孕过程中服药强制排卵，用30cm穿刺针反复15-30次 可能导致停经，创口感染，器官感人，甚至不孕不育 卵巢癌变 死亡,misogyny,misogyny,not-misogyny
148,响,not-misogyny,not-misogyny,not-misogyny
361,你不结婚生孩子 以后老了谁照顾 只要我S的够快，就没人能照顾我,misogyny,not-misogyny,not-misogyny
84,小红书,not-misogyny,not-misogyny,not-misogyny
49,不可以 原则上可以,not-misogyny,not-misogyny,not-misogyny
469,老婆老婆老婆老婆 老婆老婆老婆 做梦也爱老婆,not-misogyny,not-misogyny,not-misogyny
156,SB 给老子死 狠,misogyny,not-misogyny,not-misogyny
1028,I will pass all my exams 我将通过所有的考试,not-misogyny,not-misogyny,not-misogyny
1194,不忙但是不帮你忙,not-misogyny,not-misogyny,not-misogyny
1030,我以为的假期：17:59 回家！18:00,not-misogyny,not-misogyny,not-misogyny
1389,超常发挥 +10 +10 +10,not-misogyny,not-misogyny,not-misogyny
501,你为什么不快乐？ 请填写此表 找到快乐 A因为那些坏人 B因为我自己的错 C这个世界就是这样 D快乐毫无意义 快乐表格 文件缺失或损坏，请重新登陆。如果不行，如果不行，如果不 确定,not-misogyny,not-misogyny,not-misogyny
180,好羡慕啊操你妈的,misogyny,misogyny,misogyny
1388,除了干饭，皆无向往 被窝以外，皆是他乡,not-misogyny,not-misogyny,misogyny
584,趁年轻 赶紧生,misogyny,misogyny,misogyny
1512,老娘独美 一人吃饱全家不饿 这个婚爱谁结谁结 反正我不结,misogyny,not-misogyny,not-misogyny
529,你不生孩子 人类灭绝了怎么办 恐龙也生孩子 但恐龙灭绝了,misogyny,misogyny,not-misogyny
347,老板你睡了 我还没下班,not-misogyny,not-misogyny,not-misogyny
1179,当男朋友说 不是我pua你 你这样的除了我 还有谁会要,misogyny,not-misogyny,misogyny
1664,白天两顿减脂餐 晚上骑手已接单,not-misogyny,not-misogyny,not-misogyny
889,乖巧/聪明 他说：和同龄人比起来，你很聪明 你应该是那种乖乖女吧？,misogyny,not-misogyny,not-misogyny
1296,放不开/放得开 他说：我以为你是那种很放得开的女生呢 你怎么这么放不开,misogyny,misogyny,misogyny
1694,对情绪和支持的无条件期望 你可曾听过 对家务分工的默认认知 家里卫生你来收拾一下吧，女生会比较细心 还是应该女孩子来做饭 女人就是腰在家照顾小孩 女孩子应该还做家务 你怎么一点都不体谅人，一点女生的体贴都没有 女孩子比较会安慰人，帮忙劝劝吧 你应该多体谅一下，女生就是天生要温柔些,misogyny,misogyny,misogyny
1559,怎么回事？一大早就努力工作 這樣會破壤规矩,not-misogyny,not-misogyny,misogyny
244,周五周五 摸鱼为主,not-misogyny,not-misogyny,not-misogyny
1254,感觉好累 高峰时段，Kimi算力不足，无法处理较长文本。 你可以尝试开启一个新会话，或者过段时间再来问我。 再试一次 上班真的好累 人工智能cos人类 看了我的海量资料之后 kimi终于也遭不住了 有种改稿改了二十次 最后被告知 用第一版的无力感,not-misogyny,not-misogyny,not-misogyny
313,哥哥这么久不理人家 一定很忙吧 是吧 我理解哥哥的,not-misogyny,misogyny,not-misogyny
436,重视女性安全 子宫不是商品 亲爱的女宝 卵子交易是违法的！无论遭遇什么艰难困境，都不要拿自己的身体作为交换 拒绝代孕 代孕的背后是无数女性拿命还钱 你连老板的加班都没办法拒绝，凭什么觉得代孕合法后，女性有权决定自己的子宫！ 每一次加入卖卵都是在助长这个黑色产业的壮大 无形中威胁到其他女性的安全 代孕过程中强制排卵，用30cm（相当于小臂长度）穿刺针反复穿刺15-30次。可能导致停经，创口感染，器官感人，甚至不孕不育 卵巢癌变 死亡 在中国，参与者、教唆者、组织者以【组织出卖人体器官罪】【非法经营罪】论处，处以拘役、管制、有期徒刑、罚金、没收财产 如果发现请向学校反映或拨打110打击犯罪团伙。地址代孕不要让子宫成为肮脏的交易工具。,misogyny,misogyny,not-misogyny
1609,我以为我当好“姐姐”就能得到父母的认可 但我更像无根的浮萍 毕竟我父母常说 “嫁出去的女儿 泼出去的水”,misogyny,misogyny,misogyny
713,谁影响我我就放弃谁 有你没你我都是我,not-misogyny,not-misogyny,not-misogyny
309,还不准备生孩子啊,misogyny,misogyny,misogyny
431,你这里有点问题 但没关系 我用ps帮你修好了,not-misogyny,not-misogyny,not-misogyny
371,一定要生男孩,misogyny,misogyny,not-misogyny
567,2025新年快乐,not-misogyny,not-misogyny,not-misogyny
722,现在不喜欢 生了你就喜欢了！ 现在不喜欢，不生我更喜欢。,misogyny,not-misogyny,not-misogyny
182,为什么不生孩子？ 不知道啊 高考又不考,misogyny,not-misogyny,misogyny
1381,早上好，我的工友,not-misogyny,not-misogyny,not-misogyny
760,我很好,not-misogyny,not-misogyny,not-misogyny
1069,我的眼泪像兰州拉面 一样滚了出来,not-misogyny,not-misogyny,not-misogyny
1560,12:00 没见过这么精神的,not-misogyny,not-misogyny,not-misogyny
297,亲戚：你不生孩子谁还记得你 我：你太奶奶叫什么你记得吗,misogyny,misogyny,not-misogyny
1696,以前屁股大的女生 满身肥肉 水桶腰 不仅屁股大 还腿粗 在意别人眼光,misogyny,misogyny,misogyny
462,谢谢姐 吃到好東西了 又幸福了,not-misogyny,not-misogyny,not-misogyny
1111,看到女人就烦,misogyny,misogyny,misogyny
1076,那份如此微博的也叫薪水？,not-misogyny,not-misogyny,not-misogyny
378,生活试图把我惹毛 发现我变得毛茸茸,not-misogyny,not-misogyny,not-misogyny
1023,男朋友眼里都是我 谁家的姑娘 女朋友,not-misogyny,not-misogyny,not-misogyny
127,今天学了吗？,not-misogyny,not-misogyny,not-misogyny
926,脆弱时间到 我们一起来祷告,not-misogyny,not-misogyny,not-misogyny
619,大好青年弄到人不像人，鬼不像鬼,not-misogyny,not-misogyny,not-misogyny
356,好心态 决定女人的一生,not-misogyny,not-misogyny,not-misogyny
1378,很爱上班这种感觉 饿不死 又挣不到钱 令人着迷,not-misogyny,not-misogyny,not-misogyny
210,候车大厅虽然吵 聊聊方案也很好,not-misogyny,not-misogyny,not-misogyny
141,论傻逼 还得是您啊,misogyny,not-misogyny,not-misogyny
1222,操你妈 听清没 操你妈,misogyny,misogyny,misogyny
1399,筋疲力尽,not-misogyny,not-misogyny,not-misogyny
1038,我去上班了 这个钱！我赚定了,not-misogyny,not-misogyny,not-misogyny
1343,逢考必过符 题目都会做的都对 高分到手拿证无忧 考神护体,not-misogyny,not-misogyny,not-misogyny
1546,我受够了你这cheap man,not-misogyny,not-misogyny,misogyny
1681,福啦 倒霉的又是我,not-misogyny,not-misogyny,not-misogyny
1663,已进入人才库,not-misogyny,not-misogyny,not-misogyny
638,我可真棒,not-misogyny,not-misogyny,not-misogyny
1505,精神涣散,not-misogyny,not-misogyny,not-misogyny
11,我是輕浮 我只是 情難自控,not-misogyny,not-misogyny,not-misogyny
916,强颜欢笑,not-misogyny,not-misogyny,not-misogyny
283,我十分想喝冰可乐！！！,not-misogyny,not-misogyny,not-misogyny
292,你那份甚么工作,not-misogyny,not-misogyny,not-misogyny
1231,脱单了吧！我儿子刚生了第二个！什么时候你也生一个！,misogyny,not-misogyny,misogyny
635,我又不是不倒翁 为什么 我不能被挫折击倒,not-misogyny,not-misogyny,not-misogyny
130,当你的教授讲课特别有热情而且你能听懂并享受所有内容,not-misogyny,not-misogyny,not-misogyny
324,不把希望寄托在别人身上 能永远对自己好的人是自己,not-misogyny,not-misogyny,not-misogyny
862,不生孩子你以后会后悔的 You will regret not having children in the future 我后悔了可以领养 你后悔了可以塞回去吗 I regret it. I can adopt it Can you put it back if you regret it,misogyny,not-misogyny,misogyny
644,那就这么说好吃 击掌,not-misogyny,not-misogyny,not-misogyny
711,嘻嘻 你真让人膈应,not-misogyny,not-misogyny,not-misogyny
842,妈妈说 要想拿下男孩子的心 首先拿住他的胃,misogyny,misogyny,misogyny
786,早上：不吃 中午：不吃 晚上： 货拉拉车队正在为您送餐,not-misogyny,not-misogyny,not-misogyny
835,你们总让我再生生生 我是心有余而银两不足啊,misogyny,misogyny,misogyny
793,曹尼玛，告辞 CNM，SB,misogyny,misogyny,misogyny
159,在写了，在写了,not-misogyny,misogyny,misogyny
1583,怎么可能全部忍得住啊 又不是忍者来的 小委屈 我能忍,not-misogyny,not-misogyny,not-misogyny
517,NEWS 如果领导掉水里了 你该怎么做？ TV 咪咪 NEWS 先走OA审批 不批不敢捞,not-misogyny,not-misogyny,not-misogyny
1215,太好了是女人 我们有救了,not-misogyny,not-misogyny,misogyny
598,话不投机，聊你妈逼 我日你妈卖批，告辞,misogyny,misogyny,misogyny
196,绝不精神内耗 老娘配享太庙,not-misogyny,not-misogyny,not-misogyny
1507,兄弟如手足，妻子如衣服,misogyny,not-misogyny,misogyny
1552,硬撑,not-misogyny,not-misogyny,not-misogyny
411,爷的脆弱 仅你可见,not-misogyny,not-misogyny,not-misogyny
97,想不到吧 我还没下班,not-misogyny,not-misogyny,not-misogyny
1053,准备迎接夸奖,not-misogyny,not-misogyny,not-misogyny
1339,我的父母： 你以后不生孩子 等你老了谁照顾你？ 妈妈别怕 我会治好你的 我： 妈妈吃饭,misogyny,not-misogyny,misogyny
157,谁周末还加班啊 原来是我,not-misogyny,not-misogyny,not-misogyny
420,敢来公司已经很厉害了,not-misogyny,not-misogyny,not-misogyny
809,你不结婚，周围的亲戚都在说三道四 现在，就现在，咱们拉个群，我看看有谁！,misogyny,not-misogyny,not-misogyny
478,前途一片牛马,not-misogyny,not-misogyny,not-misogyny
989,经常消毒，坏运消除 坏运good bye,not-misogyny,not-misogyny,not-misogyny
1269,不会消息是吧 你现在是光鲜了 留我和孩子在乡下放牛,not-misogyny,not-misogyny,misogyny
817,星期日 让我看看你的真面目！ 星期五 我就知道！,not-misogyny,not-misogyny,not-misogyny
1109,想买一本《情绪控制》 送给我老婆 110吗？这里有一个神经病 嫁的是人是狗，看送的礼物就知道了 — —《中国妈妈带娃图鉴》,misogyny,misogyny,misogyny
448,告诉考试 我不认输,not-misogyny,not-misogyny,not-misogyny
1193,再生一个，凑成好字 万一又生一个儿子怎么办！,misogyny,not-misogyny,misogyny
179,妈的累死爹了休息一下,misogyny,not-misogyny,not-misogyny
391,坦克 肥婆 别吃了 丑 肥猪 水桶腰 好肥 怎么还吃 粗 大象腿,misogyny,misogyny,misogyny
579,不是靓仔不要和我搭话 我操你妈逼啊,misogyny,misogyny,misogyny
745,学术论文,not-misogyny,not-misogyny,not-misogyny
1456,连屎都拉不出来 我现在一个 擅长的技能都没有了.....,not-misogyny,not-misogyny,not-misogyny
811,社恐内向 受不了肚子里有个陌生人,not-misogyny,not-misogyny,misogyny
1402,很爱上班这种感觉 饿不死又挣不到钱 令人着迷,not-misogyny,not-misogyny,not-misogyny
1651,需要说sorry 吗？,not-misogyny,not-misogyny,not-misogyny
766,你结婚了，我们才能安心 安的啥心,misogyny,not-misogyny,misogyny
1186,这是国宴微臣不敢吃,not-misogyny,not-misogyny,not-misogyny
942,高高兴兴上学,not-misogyny,not-misogyny,not-misogyny
143,什么时候结婚 死之前,misogyny,not-misogyny,misogyny
1553,我鬼混回来了,not-misogyny,not-misogyny,not-misogyny
1005,新年新气象,not-misogyny,not-misogyny,not-misogyny
949,再不摸鱼就该下班了,not-misogyny,not-misogyny,not-misogyny
637,offer+ 1 offer+ 1 offer+ 1 offer+ 1 offer+ 1 offer+ 1 of fer+ 1 offer+ 1 offer+ 1 offer+ 1 offer+ 1 Offer+ 1 offer+ 1 offer+ 1 吸引 offer,not-misogyny,not-misogyny,not-misogyny
1475,哎嘿...嘿嘿嘿 我上辈子一定是大好人 这辈子才能遇见这么美丽超级好的老婆,not-misogyny,not-misogyny,not-misogyny
616,当我情绪稳定的时候 我已经疯了,not-misogyny,not-misogyny,not-misogyny
295,真实的留子现况 穿搭我说把这个领子翻出来 精神状态 社交 出来没什么劲 外语水平 水 是杯子还是水,not-misogyny,not-misogyny,not-misogyny
1326,好油像你一样,not-misogyny,not-misogyny,not-misogyny
1613,老師，我可不可以..,not-misogyny,not-misogyny,not-misogyny
89,你最近还好吗？,not-misogyny,not-misogyny,not-misogyny
42,人生乱套我睡觉,not-misogyny,not-misogyny,not-misogyny
1641,听到了么 是流水线开工的声音,not-misogyny,not-misogyny,not-misogyny
132,这么巧？ 你也错峰睡觉啊,not-misogyny,not-misogyny,not-misogyny
1395,如果9点上班的意思是我9点就必须要公司 那不6点下班的意思不是 我6点就应该在家吗？,not-misogyny,not-misogyny,not-misogyny
1157,报一丝哈,not-misogyny,not-misogyny,not-misogyny
1466,没人要的老女人,misogyny,misogyny,misogyny
1573,男的来了,not-misogyny,not-misogyny,misogyny
906,老婆不再 我也要乖乖睡觉 要想老婆！,not-misogyny,not-misogyny,misogyny
165,人生要走万里路 迈好强身第一步,not-misogyny,not-misogyny,not-misogyny
291,你觉得合适吗？,not-misogyny,not-misogyny,not-misogyny
1607,如果你有一个儿子 你得好好锻炼他,not-misogyny,not-misogyny,not-misogyny
1097,干了各位 祝福都在这里了,not-misogyny,not-misogyny,not-misogyny
349,我妈：年纪大了，想抱孙子 我：让你做月嫂你又不肯,misogyny,not-misogyny,not-misogyny
572,成功女人第三步 嘴甜心狠,not-misogyny,misogyny,misogyny
844,早插秧早收谷 早生孩子早享福,misogyny,not-misogyny,misogyny
1600,人不聪明 个不高 胸又小 屁事还不少,misogyny,misogyny,misogyny
875,假期结束了 我的人生也完了 不上班带来经济问题 上班带来精神问题,not-misogyny,not-misogyny,not-misogyny
1357,看看我自己啦，漂亮能干,not-misogyny,not-misogyny,not-misogyny
1121,认真 本人求职,not-misogyny,not-misogyny,not-misogyny
758,陛下所言极是,not-misogyny,not-misogyny,not-misogyny
459,我操你妈啊 吃爸爸一拳,misogyny,misogyny,misogyny
376,睁开眼睛,not-misogyny,not-misogyny,not-misogyny
334,奴才先行告退,not-misogyny,not-misogyny,not-misogyny
967,你瞅瞅多牛逼啊,not-misogyny,not-misogyny,not-misogyny
1581,别逼我打你 你的脑子呢？,not-misogyny,not-misogyny,not-misogyny
1690,世界再见,not-misogyny,not-misogyny,not-misogyny
924,爸爸赚钱 妈妈赚钱 带娃 做饭 做家务 防小三 人情世故 陪娃睡觉 给娃洗澡 辅导作业 接娃上下学 老师随叫随到 参加学校活动 陪娃玩 陪娃看病 菜买零食 半夜给孩子 半夜喂孩子喝水 心理疏导 自我消化 管理好自己的情绪 观察孩子的身体变化,misogyny,misogyny,misogyny
1538,老師您放心 我一定會搞砸,not-misogyny,misogyny,not-misogyny
1575,儿子10万 女儿5万,misogyny,misogyny,misogyny
1143,被贴上“理所当然”的标签 我们该如何反抗 女孩子比较会安慰人，帮忙劝劝吧 你负责照顾孩子，这对妈妈来说不就是本分吗？ 年纪不小了，女生早点结婚才合适 你是女生，稍微打扮一下是应该的 你们女生心思细腻，这种沟通你去谈更好 女生还是适合比较稳定的工作，别太拼 女生要学会包容 看见不平等,misogyny,not-misogyny,misogyny
329,新年快乐 柿柿如意 2025,not-misogyny,not-misogyny,not-misogyny
782,早上：不吃 中午：不吃 晚上： 货拉拉正在为您送餐,not-misogyny,not-misogyny,not-misogyny
319,调休：中国人自己的时光机 什...什么? 昨天星期一 今天还是星期一,not-misogyny,not-misogyny,not-misogyny
1304,cnm~biubiubiu~QAQ,misogyny,misogyny,misogyny
1471,人是没有必要非得吃三餐的 即使是被人掐住了咽喉！！ 我也要说,not-misogyny,not-misogyny,not-misogyny
1477,没关系 还在呼吸 已经很厉害了,not-misogyny,not-misogyny,not-misogyny
168,好饭！,not-misogyny,not-misogyny,not-misogyny
13,不要跟我讲道理 给钱就行了 你说啥都对,not-misogyny,not-misogyny,not-misogyny
172,跟表格干吧 至少能忘掉一切,not-misogyny,not-misogyny,not-misogyny
650,我是黑马,not-misogyny,not-misogyny,not-misogyny
261,移腚ok! 一定成功 啃腚能行！肯定能行 指腚成功！指定成功 一口咬腚 一口咬定你最棒,not-misogyny,not-misogyny,not-misogyny
1542,宝宝你好香身上有一股 上6休3上3休2上5休1上2休7 再上5休1 的班味 咪咪TV,not-misogyny,not-misogyny,not-misogyny
1198,我不是拖延症 我之所以等到最后一分钟才去做事 是因为那时候的我更老了 做事也会更成熟一些 无辜,not-misogyny,not-misogyny,not-misogyny
673,这是我一生中最勇敢的瞬间 远在世界尽头的你站在我面前,not-misogyny,not-misogyny,not-misogyny
259,女男平等,not-misogyny,not-misogyny,not-misogyny
1019,nmb wcnm 能明白 我宠你吗？,misogyny,misogyny,misogyny
139,结果出来了，你脑子里全是放假 放假 嘿嘿....,not-misogyny,not-misogyny,not-misogyny
550,我没心情工作,not-misogyny,misogyny,misogyny
778,真娘们儿,not-misogyny,not-misogyny,not-misogyny
1366,已经懒得解释了 你说夜里有太阳 我说注意防晒,not-misogyny,not-misogyny,not-misogyny
1059,请给微臣一个明示,not-misogyny,not-misogyny,not-misogyny
1279,除了该睡的 时候不睡 其他时候 都想睡,not-misogyny,not-misogyny,not-misogyny
559,双手握住 简单的快乐,not-misogyny,not-misogyny,not-misogyny
140,勤力有用的话，乡下的牛早就发财了,not-misogyny,not-misogyny,not-misogyny
1629,蛇·年·灵·蛇·送·祝·福· 万事如意,not-misogyny,not-misogyny,not-misogyny
532,每个渺小的理由 都困住自由,not-misogyny,not-misogyny,not-misogyny
225,没有那种世俗的欲望,not-misogyny,not-misogyny,not-misogyny
724,下班了！！！！！,not-misogyny,not-misogyny,not-misogyny
744,职场歧视 表现： “本岗位仅招男性” “当领导的大部分是男性” “女生就是容易有工作情绪” “你什么时候有生孩子的打算”,misogyny,misogyny,misogyny
410,前途一片归西,not-misogyny,not-misogyny,not-misogyny
326,忙且发疯 今日精神状态,not-misogyny,not-misogyny,not-misogyny
874,我的父母：你以后不生孩子 等你老了谁照顾你？ 我：,misogyny,not-misogyny,misogyny
300,还是那句话：我真的很不错 礼貌太太 今天,not-misogyny,not-misogyny,not-misogyny
1079,cnm cnm cnm cnm cnm cnm cnm cnm 看我不骂死你！,misogyny,misogyny,misogyny
938,女人都是骗子,misogyny,misogyny,misogyny
1141,保佑我水到毕业,not-misogyny,not-misogyny,not-misogyny
1576,请雇我工作,not-misogyny,not-misogyny,not-misogyny
